"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"U-18TB1 112xlarge","u-18tb1.112xlarge","18432.0 GiB","448 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"U7IN-16TB 224xlarge","u7in-16tb.224xlarge","16384.0 GiB","896 vCPUs","EBS only","200 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"U-24TB1 112xlarge","u-24tb1.112xlarge","24576.0 GiB","448 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"U7IN-24TB 224xlarge","u7in-24tb.224xlarge","24576.0 GiB","896 vCPUs","EBS only","200 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"U7IN-32TB 224xlarge","u7in-32tb.224xlarge","32768.0 GiB","896 vCPUs","EBS only","200 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"HPC7A 96xlarge","hpc7a.96xlarge","768.0 GiB","192 vCPUs","EBS only","300 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"HPC7A 24xlarge","hpc7a.24xlarge","768.0 GiB","48 vCPUs","EBS only","300 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"P5E 48xlarge","p5e.48xlarge","2048.0 GiB","192 vCPUs","EBS only","3200 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"U-12TB1 Metal","u-12tb1.metal","12288.0 GiB","448 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"HPC6ID 32xlarge","hpc6id.32xlarge","1024.0 GiB","64 vCPUs","EBS only","200 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"HPC7A 12xlarge","hpc7a.12xlarge","768.0 GiB","24 vCPUs","EBS only","300 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"HPC6A 48xlarge","hpc6a.48xlarge","384.0 GiB","96 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"HPC7A 48xlarge","hpc7a.48xlarge","768.0 GiB","96 vCPUs","EBS only","300 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"U-9TB1 Metal","u-9tb1.metal","9216.0 GiB","448 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"U-6TB1 Metal","u-6tb1.metal","6144.0 GiB","448 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"I2 Large","i2.large","15.0 GiB","2 vCPUs","EBS only","Moderate","unavailable","unavailable","unavailable","unavailable","unavailable"
"MAC1 Metal","mac1.metal","32.0 GiB","12 vCPUs","EBS only","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"MAC2-M2 Metal","mac2-m2.metal","24.0 GiB","12 vCPUs","EBS only","10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"MAC2 Metal","mac2.metal","16.0 GiB","12 vCPUs","EBS only","10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"MAC2-M2PRO Metal","mac2-m2pro.metal","32.0 GiB","20 vCPUs","EBS only","10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"U-18TB1 Metal","u-18tb1.metal","18432.0 GiB","448 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"MAC2-M1ULTRA Metal","mac2-m1ultra.metal","128.0 GiB","20 vCPUs","EBS only","10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"U-24TB1 Metal","u-24tb1.metal","24576.0 GiB","448 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"High Storage Eight Extra Large","hs1.8xlarge","117.0 GiB","16 vCPUs","EBS only","10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"Cluster Compute Eight Extra Large","cc2.8xlarge","60.5 GiB","32 vCPUs","EBS only","10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
